probe_index	participant_id	ses	nBack	stimStart	stimEnd	Deliberate	Detailed	Emotion	Evolving	Focus	Future	Habit	Images	Other	Past	Self	Vivid	Words
0	sub-ADIE001	3mf	0	15.924926	78.837388	4	2	3	4	3	1	4	4	1	1	1	3	1
1	sub-ADIE001	3mf	0	95.453165	147.273426	4	4	3	4	3	1	4	4	1	1	1	3	1
2	sub-ADIE001	3mf	1	259.39495	304.57304899999997	4	4	3	4	4	1	4	3	1	1	1	3	3
3	sub-ADIE001	3mf	1	331.064458	372.21384400000005	4	4	3	4	4	1	4	3	1	1	1	3	3
4	sub-ADIE001	3mf	1	402.227781	443.791569	4	4	3	4	4	1	4	3	1	1	1	3	3
5	sub-ADIE001	3mf	1	460.313822	499.891888	4	4	3	4	4	1	4	3	1	1	1	3	3
0	sub-ADIE001	baseline	0	12.238628	82.303678	1	4	2	1	4	1	1	4	1	1	1	4	1
1	sub-ADIE001	baseline	0	116.639119	168.942304	1	4	3	4	4	1	4	4	1	1	1	4	1
2	sub-ADIE001	baseline	1	263.528337	318.32468	1	4	3	4	4	1	4	2	1	1	1	4	3
3	sub-ADIE001	baseline	1	354.937509	404.85762600000004	1	4	3	4	4	1	4	2	1	1	1	4	3
4	sub-ADIE001	baseline	1	438.28588	489.423577	1	4	3	4	4	1	4	2	1	1	1	4	4
5	sub-ADIE001	baseline	1	515.031501	567.9955580000001	1	4	3	4	4	1	4	2	1	1	1	4	4
0	sub-ADIE002	3mf	1	11.826642	72.517911	3	1	3	1	4	1	1	2	1	1	2	1	3
1	sub-ADIE002	3mf	1	84.426759	142.323913	1	2	3	1	3	1	3	2	1	2	2	1	3
2	sub-ADIE002	3mf	1	154.08016	193.252498	2	1	3	1	3	1	2	2	1	2	2	1	3
3	sub-ADIE002	3mf	1	219.9724	253.960299	2	2	3	1	4	1	1	2	1	1	2	1	3
4	sub-ADIE002	3mf	0	337.818027	393.818508	3	2	2	2	3	2	3	2	2	2	3	1	3
5	sub-ADIE002	3mf	0	454.05352	510.093428	2	2	2	2	3	2	3	2	2	2	3	1	3
0	sub-ADIE002	baseline	0	32.19221	114.598224	2	1	2	1	3	1	1	1	1	2	3	1	2
1	sub-ADIE002	baseline	0	179.570672	232.20589999999999	2	2	2	1	3	1	3	1	1	3	3	1	3
2	sub-ADIE002	baseline	1	271.29029	317.728813	3	1	2	1	4	1	1	2	2	1	3	1	3
