participant_id	ses	Other	Emotion	Realistic	Deliberate	Intrusive	Words	Abstract	Creative	Decoupling	Detailed	Temporal D	Future	Important	Stop	Vivid	Thematic	Past	Self	Evolving	Problem	Images	Habit
sub-ADIE001	3mf	1	3	1	4	1	3	1	1	2	4	1	1	4	1	3	4	1	1	4	4	3	4
sub-ADIE001	baseline	1	3	1	1	1	3	1	2	4	4	1	1	4	1	4	4	1	1	4	4	3	4
sub-ADIE002	3mf	2	2	3	2	2	3	2	3	2	2	2	2	3	2	1	2	2	3	2	2	2	3
sub-ADIE002	baseline	2	3	2	2	2	3	1	1	2	2	3	2	3	2	1	2	2	3	1	2	2	2
sub-ADIE002	1yf	2	3	3	2	2	3	1	2	2	2	2	2	3	2	1	1	2	3	1	3	2	1
sub-ADIE005	3mf	1	3	1	4	1	3	1	1	1	1	1	1	1	1	1	4	2	1	1	3	2	2
sub-ADIE005	baseline	2	3	1	2	1	3	2	1	2	1	1	1	1	2	3	1	1	3	2	4	3	2
sub-ADIE005	1yf	2	3	1	3	2	3	2	1	3	1	1	1	1	2	1	3	2	2	2	2	1	1
sub-ADIE012	3mf	1	4	1	4	4	4	1	1	4	4	1	1	1	1	4	4	1	1	4	4	4	4
sub-ADIE012	1yf	1	3	1	3	1	4	1	1	3	3	1	4	3	1	3	3	1	1	3	4	3	4
sub-ADIE015	3mf	3	3	3	3	2	2	3	3	3	2	2	3	3	2	3	3	2	3	2	3	3	3
sub-ADIE015	1yf	4	4	4	2	3	2	1	2	2	3	1	3	4	2	3	2	1	3	2	1	4	3
sub-ADIE018	3mf	1	4	1	4	1	1	1	2	4	4	1	1	3	1	2	4	1	1	4	1	4	3
sub-ADIE018	baseline	2	3	1	2	1	2	2	3	3	3	4	3	3	1	2	2	1	1	4	1	3	3
sub-ADIE019	3mf	1	4	1	4	1	4	1	1	1	4	1	1	1	1	1	4	1	1	1	1	1	1
sub-ADIE019	baseline	1	3	1	4	1	2	1	1	1	4	1	1	1	1	1	4	1	1	3	3	4	1
sub-ADIE019	1yf	1	4	1	4	1	4	1	1	4	4	1	1	1	1	4	4	1	1	4	1	1	1
sub-ADIE028	3mf	1	3	1	4	2	2	1	1	2	4	1	1	2	2	1	2	1	1	4	1	4	1
sub-ADIE028	baseline	1	4	1	4	1	1	1	1	1	1	1	1	1	1	1	4	1	1	4	1	4	1
sub-ADIE028	1yf	1	2	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	2	2	1	2	2
sub-ADIE032	3mf	1	4	1	4	1	1	4	4	3	4	1	3	1	4	1	3	2	1	4	4	4	4
sub-ADIE032	baseline	3	4	4	2	2	3	4	1	4	2	1	2	2	1	3	1	2	2	3	4	3	2
sub-ADIE040	3mf	1	4	3	3	1	4	4	3	4	4	3	3	1	3	3	3	3	4	3	4	4	1
sub-ADIE040	baseline	2	3	1	3	3	2	2	1	2	3	2	2	2	4	3	2	3	1	4	3	3	3
sub-ADIE040	1yf	1	4	3	2	1	3	2	2	3	2	1	3	1	2	2	2	2	1	4	4	3	3
sub-ADIE041	3mf	4	2	3	1	2	1	3	1	2	1	3	4	4	3	1	4	1	2	2	4	2	4
